date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,vol_ma5,vol_ma10,vol_ma20,turnover_rate
2020-11-13,1724.0,1728.88,1705.0,1691.0,28155.48,-29.79,-1.72,1731.742,1714.982,1702.641,31627.69,26572.17,29169.12,0.22
2020-11-12,1730.01,1750.0,1734.79,1722.27,23473.09,3.44,0.2,1730.866,1711.484,1702.991,30606.9,26362.17,28630.21,0.19
2020-11-11,1745.0,1777.5,1731.35,1731.0,34850.73,-13.65,-0.78,1728.288,1705.605,1702.501,30617.11,27952.24,28266.78,0.28
2020-11-10,1752.92,1764.48,1745.0,1736.0,30189.44,2.43,0.14,1721.934,1698.951,1702.384,26935.7,27930.82,27548.31,0.24
2020-11-09,1701.38,1750.68,1742.57,1700.62,41469.7,41.95,2.47,1711.934,1686.951,1702.084,25597.31,29306.31,27186.03,0.33
2020-11-06,1730.55,1731.59,1700.62,1690.0,23051.53,-21.28,-1.24,1698.222,1676.994,1702.486,21516.66,31760.87,27299.0,0.18
2020-11-05,1717.0,1732.48,1721.9,1712.1,23524.14,22.32,1.31,1692.102,1678.465,1702.255,22117.44,31384.89,27858.42,0.19
2020-11-04,1700.0,1704.0,1699.58,1685.0,16443.71,4.58,0.27,1682.922,1680.525,1699.585,25287.37,31280.56,28036.6,0.13
2020-11-03,1684.99,1705.9,1695.0,1675.5,23497.49,20.99,1.25,1675.968,1683.9,1697.221,28925.93,31526.33,28085.95,0.19
2020-11-02,1675.0,1695.0,1674.01,1672.0,21066.43,3.99,0.24,1661.968,1687.8,1695.521,33015.31,31950.07,28122.69,0.17
2020-10-30,1678.0,1696.0,1670.02,1665.0,26055.45,-5.98,-0.36,1655.766,1690.299,1693.576,42005.09,31766.06,28198.52,0.21
2020-10-29,1654.84,1708.0,1676.0,1647.0,39373.76,11.19,0.67,1664.828,1694.497,1691.541,40652.33,30898.25,28398.28,0.31
2020-10-28,1626.0,1677.0,1664.81,1625.08,34636.53,39.81,2.45,1678.128,1699.397,1690.24,37273.76,28581.31,28215.87,0.28
2020-10-27,1643.0,1644.0,1625.0,1616.12,43944.4,-18.0,-1.1,1691.832,1705.816,1690.284,34126.72,27165.8,27647.32,0.35
2020-10-26,1619.0,1662.92,1643.0,1600.0,66015.29,-72.33,-4.22,1713.632,1717.216,1692.374,30884.83,25065.75,26572.3,0.53
2020-10-23,1740.78,1747.59,1715.33,1714.0,19291.69,-27.17,-1.56,1724.832,1727.977,1694.974,21527.04,22837.12,25631.61,0.15
2020-10-22,1730.0,1745.0,1742.5,1715.51,22480.87,9.17,0.53,1724.166,1726.044,1692.733,21144.17,24331.94,27851.01,0.18
2020-10-21,1734.1,1742.15,1733.33,1723.0,18901.37,-0.67,-0.04,1720.666,1718.644,1691.863,19888.87,24792.64,27852.77,0.15
2020-10-20,1699.99,1734.97,1734.0,1695.0,27734.93,35.0,2.06,1719.8,1710.541,1693.197,20204.88,24645.58,27948.75,0.22
2020-10-19,1725.0,1733.98,1699.0,1691.9,19226.32,-13.0,-0.76,1720.8,1703.241,1694.797,19246.67,24295.31,28114.8,0.15
2020-10-16,1725.0,1734.58,1712.0,1703.0,17377.38,-13.0,-0.75,1731.122,1696.852,1696.497,24147.21,24630.97,28707.88,0.14
2020-10-15,1721.13,1735.0,1725.0,1721.0,16204.36,-4.0,-0.23,1727.922,1688.584,1696.187,27519.71,25898.31,29077.93,0.13
2020-10-14,1740.0,1746.98,1729.0,1726.0,20481.39,-10.0,-0.57,1716.622,1681.082,1694.337,29696.4,27850.43,29565.89,0.16
2020-10-13,1750.62,1750.62,1739.0,1735.0,22943.89,-11.61,-0.66,1701.282,1674.751,1693.457,29086.28,28128.84,30265.44,0.18
2020-10-12,1700.0,1750.61,1750.61,1700.0,43729.04,54.61,3.22,1685.682,1667.531,1692.682,29343.95,28078.85,30673.85,0.35
2020-10-09,1692.0,1706.42,1696.0,1688.0,34239.88,27.5,1.65,1662.582,1661.97,1693.651,25114.73,28426.09,30030.29,0.27
2020-09-30,1660.0,1691.9,1668.5,1660.0,27087.81,16.2,0.98,1649.246,1659.422,1698.501,24276.91,31370.09,29840.17,0.22
2020-09-29,1669.33,1669.4,1652.3,1652.3,17430.78,-8.7,-0.52,1645.542,1665.082,1704.826,26004.45,30912.9,30086.24,0.14
2020-09-28,1635.19,1668.5,1661.0,1635.19,24232.22,25.89,1.58,1648.22,1675.852,1712.31,27171.39,31251.91,30796.7,0.19
2020-09-25,1630.0,1650.0,1635.11,1625.0,22582.96,5.79,0.35,1649.38,1686.352,1718.585,26813.76,31934.29,31975.6,0.18
