datetime,code,open,close,high,low,vol,amount,p_change
2014-06-27,600519,141.42,140.38,141.42,139.22,26477.0,371027136.0,-0.89
2014-06-30,600519,141.18,141.98,142.89,140.4,24399.0,345880000.0,1.14
2014-07-01,600519,142.59,141.77,142.59,140.8,11946.0,168987424.0,-0.15
2014-07-02,600519,142.03,142.08,142.35,141.0,12068.0,171127808.0,0.22
2014-07-03,600519,142.21,143.26,143.4,141.4,19331.0,275808352.0,0.83
2014-07-04,600519,143.4,143.32,144.18,142.72,15402.0,220860912.0,0.04
2014-07-07,600519,142.8,144.16,144.28,142.21,22879.0,327900736.0,0.59
2014-07-08,600519,144.1,142.18,144.17,141.02,21091.0,299615520.0,-1.37
2014-07-09,600519,142.0,141.24,142.87,141.02,14328.0,203120912.0,-0.66
2014-07-10,600519,141.12,141.04,141.83,140.6,12159.0,171762384.0,-0.14
2014-07-11,600519,141.47,141.87,143.09,141.12,18432.0,262292688.0,0.59
2014-07-14,600519,141.87,149.77,150.89,141.5,46534.0,684819840.0,5.57
2014-07-15,600519,149.11,153.81,158.0,149.11,58787.0,913284352.0,2.7
2014-07-16,600519,153.85,154.57,156.78,153.85,24459.0,379071456.0,0.49
2014-07-17,600519,154.09,153.75,155.55,152.0,20191.0,309501856.0,-0.53
2014-07-18,600519,153.59,160.98,165.0,152.7,74896.0,1200093440.0,4.7
2014-07-21,600519,160.39,160.98,162.88,158.59,30143.0,485174688.0,0.0
2014-07-22,600519,159.6,163.2,164.0,159.6,29820.0,483906528.0,1.38
2014-07-23,600519,162.0,163.89,165.0,161.6,27836.0,455655808.0,0.42
2014-07-24,600519,163.76,163.53,169.1,162.3,35682.0,595593152.0,-0.22
2014-07-25,600519,164.0,163.88,166.05,161.06,27833.0,454235008.0,0.21
2014-07-28,600519,164.23,164.25,167.99,162.92,42968.0,706875712.0,0.23
2014-07-29,600519,164.3,161.06,164.3,160.26,36017.0,580708800.0,-1.94
2014-07-30,600519,160.74,158.51,160.74,156.5,54876.0,865210176.0,-1.58
2014-07-31,600519,158.29,160.27,160.38,156.96,25206.0,400860672.0,1.11
2014-08-01,600519,160.17,162.98,164.3,159.62,43259.0,704961984.0,1.69
2014-08-04,600519,163.0,164.4,165.62,162.29,38848.0,637175424.0,0.87
2014-08-05,600519,164.0,166.25,166.66,161.67,38357.0,627210368.0,1.13
2014-08-06,600519,164.8,163.32,165.78,162.0,20317.0,332041728.0,-1.76
2014-08-07,600519,163.1,160.6,164.39,160.5,25396.0,411237184.0,-1.67
2014-08-08,600519,161.96,162.14,163.33,159.8,23819.0,384676128.0,0.96
2014-08-11,600519,162.48,163.07,163.2,161.51,20070.0,326555328.0,0.57
2014-08-12,600519,161.81,162.04,162.75,160.15,19604.0,316255840.0,-0.63
2014-08-13,600519,162.04,162.49,164.78,160.8,34454.0,560675712.0,0.28
2014-08-14,600519,162.02,161.46,163.44,161.28,22958.0,373085472.0,-0.63
2014-08-15,600519,162.2,161.54,162.49,161.13,21802.0,352476096.0,0.05
2014-08-18,600519,162.0,159.75,162.3,159.1,41698.0,667452096.0,-1.11
2014-08-19,600519,159.75,158.68,159.75,158.45,32095.0,509709632.0,-0.67
2014-08-20,600519,158.74,162.0,162.06,158.5,37084.0,596509504.0,2.09
2014-08-21,600519,162.0,159.97,162.32,159.0,18872.0,301791008.0,-1.25
2014-08-22,600519,160.0,159.27,160.39,158.75,18636.0,297023424.0,-0.44
2014-08-25,600519,159.27,158.75,160.15,158.3,15376.0,244745472.0,-0.33
2014-08-26,600519,158.5,157.72,159.42,156.96,16589.0,261850704.0,-0.65
2014-08-27,600519,157.72,156.37,157.78,156.18,13828.0,216703376.0,-0.86
2014-08-28,600519,156.0,156.02,158.36,156.0,17618.0,276811136.0,-0.22
2014-08-29,600519,156.0,158.23,158.59,155.0,23838.0,375517440.0,1.42
2014-09-01,600519,158.2,158.45,159.5,157.71,16450.0,260760128.0,0.14
2014-09-02,600519,158.81,162.56,162.64,158.03,41246.0,664712704.0,2.59
2014-09-03,600519,162.58,164.82,167.42,162.56,42042.0,695551808.0,1.39
2014-09-04,600519,164.7,165.06,165.94,163.68,23975.0,395280320.0,0.15
2014-09-05,600519,165.7,167.51,168.16,165.21,34731.0,579714752.0,1.48
2014-09-09,600519,167.65,164.08,167.97,164.0,20562.0,339388096.0,-2.05
2014-09-10,600519,163.7,163.91,165.0,163.01,17867.0,293245984.0,-0.1
2014-09-11,600519,163.87,161.98,164.82,161.48,31875.0,519406656.0,-1.18
2014-09-12,600519,161.49,162.45,162.65,160.32,17356.0,280548672.0,0.29
2014-09-15,600519,161.9,159.41,161.91,158.8,32543.0,519621408.0,-1.87
2014-09-16,600519,160.5,157.46,160.6,157.02,34823.0,551314368.0,-1.22
2014-09-17,600519,158.47,158.23,159.54,157.34,25841.0,408684992.0,0.49
2014-09-18,600519,158.02,159.25,159.38,157.08,26482.0,418432000.0,0.64
2014-09-19,600519,159.25,160.85,160.98,158.5,22665.0,362408992.0,1.0
2014-09-22,600519,160.71,156.94,160.71,156.84,37191.0,586709120.0,-2.43
2014-09-23,600519,156.7,157.48,157.5,156.36,34546.0,541705792.0,0.34
2014-09-24,600519,156.49,160.19,160.5,155.6,43448.0,687426560.0,1.72
2014-09-25,600519,160.92,162.19,163.98,160.9,56851.0,924878336.0,1.25
2014-09-26,600519,161.5,162.31,163.12,159.2,22716.0,366907296.0,0.07
2014-09-29,600519,162.33,162.47,163.2,161.39,23488.0,381683072.0,0.1
2014-09-30,600519,162.74,162.13,162.99,161.2,21574.0,349657792.0,-0.21
2014-10-08,600519,161.0,160.73,161.1,157.8,45652.0,725030208.0,-0.86
2014-10-09,600519,159.87,160.01,160.25,158.58,36244.0,578151808.0,-0.45
2014-10-10,600519,159.02,159.02,159.8,157.7,43147.0,684789376.0,-0.62
2014-10-13,600519,157.81,156.1,157.88,153.68,53176.0,826349760.0,-1.84
2014-10-14,600519,155.0,154.91,156.99,154.44,28895.0,449942592.0,-0.76
2014-10-15,600519,154.75,157.32,157.58,154.71,22238.0,348033856.0,1.56
2014-10-16,600519,156.1,157.32,158.19,156.1,23949.0,377655680.0,0.0
2014-10-17,600519,158.0,158.38,159.05,156.9,30976.0,489885664.0,0.67
2014-10-20,600519,158.38,156.92,158.5,156.4,32910.0,517853728.0,-0.92
2014-10-21,600519,157.0,158.46,159.34,156.6,39911.0,632422400.0,0.98
2014-10-22,600519,158.44,159.08,159.46,157.5,22836.0,363211424.0,0.39
2014-10-23,600519,158.57,159.05,160.28,157.89,31917.0,508245984.0,-0.02
2014-10-24,600519,158.95,158.88,159.89,157.69,19980.0,317073600.0,-0.11
2014-10-27,600519,156.97,157.5,159.1,154.89,27970.0,439570880.0,-0.87
2014-10-28,600519,157.32,158.74,159.1,157.18,20548.0,325762176.0,0.79
2014-10-29,600519,158.8,158.3,159.56,157.48,21423.0,339064768.0,-0.28
2014-10-30,600519,158.0,155.42,158.0,155.1,49087.0,764742336.0,-1.82
2014-10-31,600519,155.47,156.68,156.9,154.35,36421.0,567067456.0,0.81
2014-11-03,600519,156.75,155.58,156.88,155.45,24670.0,384677504.0,-0.7
2014-11-04,600519,155.49,151.39,155.49,151.0,55943.0,854409088.0,-2.69
2014-11-05,600519,151.05,146.15,151.05,145.5,76719.0,1131348480.0,-3.46
2014-11-06,600519,146.15,147.15,147.49,146.01,36362.0,533913216.0,0.68
2014-11-07,600519,147.17,148.04,148.3,147.11,41507.0,613638080.0,0.6
2014-11-10,600519,150.0,153.77,153.78,149.0,62325.0,945032832.0,3.87
2014-11-11,600519,154.3,153.35,155.2,152.01,47706.0,733026112.0,-0.27
2014-11-12,600519,152.98,152.89,153.59,150.2,30823.0,467531840.0,-0.3
2014-11-13,600519,152.72,151.58,152.73,149.68,49155.0,739602880.0,-0.86
2014-11-14,600519,151.56,157.29,157.63,150.91,75225.0,1168803328.0,3.77
2014-11-17,600519,168.0,160.05,168.0,160.0,150416.0,2451673856.0,1.75
2014-11-18,600519,161.0,155.65,161.82,155.0,63497.0,1001883712.0,-2.75
2014-11-19,600519,155.57,153.07,155.65,152.61,46290.0,710715264.0,-1.66
2014-11-20,600519,152.88,150.68,152.92,150.49,46258.0,698848960.0,-1.56
2014-11-21,600519,150.56,153.13,153.2,150.2,41990.0,638007360.0,1.63
2014-11-24,600519,153.88,153.95,155.0,152.0,53878.0,828662528.0,0.54
2014-11-25,600519,153.42,154.64,154.85,152.8,53231.0,816840960.0,0.45
2014-11-26,600519,154.6,155.95,156.36,153.89,63858.0,990302208.0,0.85
2014-11-27,600519,155.0,156.68,157.22,154.0,96551.0,1508603264.0,0.47
2014-11-28,600519,156.57,155.84,156.57,153.17,88288.0,1363855104.0,-0.54
2014-12-01,600519,156.57,160.06,161.0,156.0,121740.0,1932844672.0,2.71
2014-12-02,600519,159.05,161.14,161.2,158.25,99268.0,1588412416.0,0.67
2014-12-03,600519,162.44,164.83,168.3,162.36,117322.0,1936848384.0,2.29
2014-12-04,600519,166.5,174.13,174.5,166.5,117781.0,2020248704.0,5.64
2014-12-05,600519,177.99,170.92,178.96,168.6,112901.0,1943937536.0,-1.84
2014-12-08,600519,168.84,172.97,176.49,167.2,100894.0,1731248512.0,1.2
2014-12-09,600519,172.0,172.86,186.62,171.5,151890.0,2713372416.0,-0.06
2014-12-10,600519,175.0,179.92,183.5,175.0,106656.0,1919193472.0,4.08
2014-12-11,600519,180.0,175.89,181.94,175.29,54882.0,975885696.0,-2.24
2014-12-12,600519,176.78,176.59,180.99,176.0,51055.0,911591104.0,0.4
2014-12-15,600519,176.6,184.04,184.1,175.43,70964.0,1281924224.0,4.22
2014-12-16,600519,183.7,180.63,183.7,178.11,51129.0,918180160.0,-1.85
2014-12-17,600519,179.99,179.07,181.45,177.8,60020.0,1071735168.0,-0.86
2014-12-18,600519,179.69,179.34,182.2,179.0,38567.0,695500800.0,0.15
2014-12-19,600519,179.06,180.82,181.98,178.0,49631.0,892730624.0,0.83
2014-12-22,600519,179.65,184.1,184.29,175.88,73623.0,1327712512.0,1.81
2014-12-23,600519,183.78,188.86,193.49,182.01,85650.0,1611272960.0,2.59
2014-12-24,600519,188.0,183.06,191.8,180.68,63554.0,1187206272.0,-3.07
2014-12-25,600519,183.15,185.83,186.0,181.01,44071.0,806958784.0,1.51
2014-12-26,600519,185.09,187.57,189.0,183.0,42677.0,793340608.0,0.94
2014-12-29,600519,188.1,183.48,190.0,182.0,89838.0,1678243840.0,-2.18
2014-12-30,600519,183.0,186.84,187.98,182.48,56171.0,1043215616.0,1.83
2014-12-31,600519,185.6,189.62,190.0,185.0,46269.0,871581696.0,1.49
2015-01-05,600519,189.62,202.52,204.24,188.69,94515.0,1875063168.0,6.8
2015-01-06,600519,200.0,197.83,202.56,196.02,55020.0,1094977408.0,-2.32
2015-01-07,600519,196.04,192.94,199.5,189.99,54797.0,1063925632.0,-2.47
